phylum,order,family,genus,val_int,val_str,from_user,to_user,user_state,race,breed,division,section,population,cts
server_event,user_turn_initiated,game_screen,ludo,,CASH,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip"",""Y15bPrZmGADQTnwF"":""non_vip""}",0,,,LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,"{""ZL_rrCRuqDFACGpN"":""57"",""Y15bPrZmGADQTnwF"":""55""}",5500,1690767733722
server_event,user_turn_completed,game_screen,ludo,8200,CASH,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip"",""Y15bPrZmGADQTnwF"":""non_vip""}",0,"{""respins_left"":""0"",""dice_score"":""0"",""turnTimeWhenPawnMoveReqReceived"":""-1"",""pawnNotMovableReason"":""unknown"",""turn_play_mode"":""time_out"",""pawnsMovable"":""yes"",""ludoBoardData"":""{\""upd\"":{\""ZL_rrCRuqDFACGpN\"":{\""pos\"":[27,35,50,1],\""score\"":[0,8,23,26],\""state\"":[\""NONE\"",\""NONE\"",\""NONE\"",\""NONE\""],\""safe\"":[true,true,false,true],\""totScore\"":57},\""Y15bPrZmGADQTnwF\"":{\""pos\"":[1,9,22,27],\""score\"":[0,8,21,26],\""state\"":[\""NONE\"",\""NONE\"",\""NONE\"",\""NONE\""],\""safe\"":[true,true,true,true],\""totScore\"":55}}}"",""turnTimeWhenPawnMovedRespSent"":""-1"",""tournament_id"":""ZMcI79oK51VNRMmu""}","{""upd"":{""ZL_rrCRuqDFACGpN"":{""pos"":[27,35,50,1],""score"":[0,8,23,26],""state"":[""NONE"",""NONE"",""NONE"",""NONE""],""safe"":[true,true,false,true],""totScore"":57},""Y15bPrZmGADQTnwF"":{""pos"":[1,9,22,27],""score"":[0,8,21,26],""state"":[""NONE"",""NONE"",""NONE"",""NONE""],""safe"":[true,true,true,true],""totScore"":55}}}",LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,"{""ZL_rrCRuqDFACGpN"":""57"",""Y15bPrZmGADQTnwF"":""55""}",5500,1690767741923
server_event,user_turn_initiated,game_screen,ludo,,CASH,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip"",""Y15bPrZmGADQTnwF"":""non_vip""}",0,,,LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,"{""ZL_rrCRuqDFACGpN"":""59"",""Y15bPrZmGADQTnwF"":""55""}",5500,1690767745593
server_event,game_end,game_screen,ludo,1450,CASH,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip"",""Y15bPrZmGADQTnwF"":""non_vip""}",0,win_credit_success,"{""entries_left"":-2,""tournament_theme"":""MAX_PLAY"",""multiplier"":1.0,""userLeft"":false,""entry_fee"":3.0,""type"":1,""partialGameEnd"":true,""roomName"":""LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da"",""tournament_id"":""ZMcI79oK51VNRMmu"",""points"":0.0,""time_left_tournament"":""00:47:26"",""current_prize"":3.0,""rank"":1450}",LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,"{""ZL_rrCRuqDFACGpN"":""59"",""Y15bPrZmGADQTnwF"":""55""}",5500,1690767753669
server_event,game_action,game_screen,ludo,0,CASH,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip"",""Y15bPrZmGADQTnwF"":""non_vip""}",0,DICEROLL-DONE,"{""tournament_id"":""ZMcI79oK51VNRMmu""}",LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,"{""ZL_rrCRuqDFACGpN"":""59"",""Y15bPrZmGADQTnwF"":""55""}",5500,1690767753669
server_event,user_turn_completed,game_screen,ludo,9949,CASH,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip"",""Y15bPrZmGADQTnwF"":""non_vip""}",0,"{""respins_left"":""0"",""dice_score"":""6"",""turnTimeWhenPawnMoveReqReceived"":""-1"",""pawnNotMovableReason"":""unknown"",""turn_play_mode"":""autoplay"",""pawnsMovable"":""yes"",""ludoBoardData"":""{\""upd\"":{\""ZL_rrCRuqDFACGpN\"":{\""pos\"":[27,35,0,1],\""score\"":[0,8,25,26],\""state\"":[\""NONE\"",\""NONE\"",\""NONE\"",\""NONE\""],\""safe\"":[true,true,false,true],\""totScore\"":59},\""Y15bPrZmGADQTnwF\"":{\""pos\"":[1,9,22,33],\""score\"":[0,8,21,32],\""state\"":[\""NONE\"",\""NONE\"",\""NONE\"",\""NONE\""],\""safe\"":[true,true,true,false],\""totScore\"":61}}}"",""turnTimeWhenPawnMovedRespSent"":""-1"",""tournament_id"":""ZMcI79oK51VNRMmu""}","{""upd"":{""ZL_rrCRuqDFACGpN"":{""pos"":[27,35,0,1],""score"":[0,8,25,26],""state"":[""NONE"",""NONE"",""NONE"",""NONE""],""safe"":[true,true,false,true],""totScore"":59},""Y15bPrZmGADQTnwF"":{""pos"":[1,9,22,33],""score"":[0,8,21,32],""state"":[""NONE"",""NONE"",""NONE"",""NONE""],""safe"":[true,true,true,false],""totScore"":61}}}",LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,"{""ZL_rrCRuqDFACGpN"":""59"",""Y15bPrZmGADQTnwF"":""61""}",6100,1690767755542
server_event,user_turn_initiated,game_screen,ludo,,CASH,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip"",""Y15bPrZmGADQTnwF"":""non_vip""}",0,,,LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,"{""ZL_rrCRuqDFACGpN"":""59"",""Y15bPrZmGADQTnwF"":""61""}",6100,1690767755542
server_event,game_action,game_screen,ludo,0,CASH,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip"",""Y15bPrZmGADQTnwF"":""non_vip""}",0,DICEROLL-DONE,"{""tournament_id"":""ZMcI79oK51VNRMmu""}",LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,"{""ZL_rrCRuqDFACGpN"":""59"",""Y15bPrZmGADQTnwF"":""61""}",6100,1690767757261
server_event,user_turn_completed,game_screen,ludo,4702,CASH,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip"",""Y15bPrZmGADQTnwF"":""non_vip""}",0,"{""respins_left"":""0"",""dice_score"":""1"",""turnTimeWhenPawnMoveReqReceived"":""-1"",""pawnNotMovableReason"":""unknown"",""turn_play_mode"":""autoplay"",""pawnsMovable"":""yes"",""ludoBoardData"":""{\""upd\"":{\""ZL_rrCRuqDFACGpN\"":{\""pos\"":[27,35,0,1],\""score\"":[0,8,25,26],\""state\"":[\""NONE\"",\""NONE\"",\""NONE\"",\""NONE\""],\""safe\"":[true,true,false,true],\""totScore\"":59},\""Y15bPrZmGADQTnwF\"":{\""pos\"":[1,9,22,34],\""score\"":[0,8,21,33],\""state\"":[\""NONE\"",\""NONE\"",\""NONE\"",\""NONE\""],\""safe\"":[true,true,true,false],\""totScore\"":62}}}"",""turnTimeWhenPawnMovedRespSent"":""-1"",""tournament_id"":""ZMcI79oK51VNRMmu""}","{""upd"":{""ZL_rrCRuqDFACGpN"":{""pos"":[27,35,0,1],""score"":[0,8,25,26],""state"":[""NONE"",""NONE"",""NONE"",""NONE""],""safe"":[true,true,false,true],""totScore"":59},""Y15bPrZmGADQTnwF"":{""pos"":[1,9,22,34],""score"":[0,8,21,33],""state"":[""NONE"",""NONE"",""NONE"",""NONE""],""safe"":[true,true,true,false],""totScore"":62}}}",LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,"{""ZL_rrCRuqDFACGpN"":""59"",""Y15bPrZmGADQTnwF"":""62""}",6200,1690767760244
server_event,user_turn_initiated,game_screen,ludo,,CASH,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip"",""Y15bPrZmGADQTnwF"":""non_vip""}",0,,,LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,"{""ZL_rrCRuqDFACGpN"":""62"",""Y15bPrZmGADQTnwF"":""62""}",6200,1690767764352
